Opening Name,Num Games,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations,DeltaPerf
Alekhine Defense,34710,2208.0,2208.0,36.0,27.0,37.0,8.0,27,0.0
Anderssen Opening,1308,2124.0,2126.0,36.0,26.0,39.0,1.0,1,-2.0
Benko Gambit,24543,2245.0,2229.0,40.0,25.0,35.0,11.0,17,16.0
Benoni Defense,56840,2264.0,2266.0,38.0,26.0,36.0,11.0,40,-2.0
Bird Opening,16315,2083.0,2093.0,39.0,23.0,38.0,4.0,5,-10.0
Bishop's Opening,11318,2172.0,2145.0,41.0,26.0,33.0,6.0,11,27.0
Blackmar-Diemer Gambit,1019,2072.0,2116.0,37.0,20.0,43.0,8.0,6,-44.0
Blumenfeld Countergambit,2507,2316.0,2334.0,38.0,25.0,38.0,10.0,4,-18.0
Bogo-Indian Defense,22797,2274.0,2299.0,28.0,39.0,33.0,8.0,6,-25.0
Budapest Defense,7777,2162.0,2160.0,38.0,24.0,38.0,7.0,6,2.0
Caro-Kann Defense,129053,2210.0,2207.0,35.0,30.0,35.0,9.0,62,3.0
Catalan Opening,36178,2303.0,2302.0,31.0,36.0,33.0,11.0,13,1.0
Center Game,2932,2109.0,2080.0,44.0,21.0,35.0,6.0,4,29.0
Clemenz Opening,183,2128.0,2117.0,37.0,22.0,42.0,1.0,1,11.0
Colle System,4968,2109.0,2091.0,38.0,30.0,32.0,7.0,1,18.0
Czech Defense,7257,2154.0,2202.0,33.0,25.0,41.0,6.0,1,-48.0
Danish Gambit,856,2066.0,2056.0,43.0,22.0,34.0,6.0,2,10.0
Dutch Defense,53855,2237.0,2240.0,36.0,29.0,36.0,8.0,43,-3.0
Elephant Gambit,873,1950.0,1995.0,31.0,16.0,53.0,5.0,3,-45.0
English Defense,2267,2352.0,2390.0,32.0,31.0,37.0,6.0,2,-38.0
English Opening,259136,2255.0,2263.0,32.0,33.0,35.0,7.0,103,-8.0
Englund Gambit,114,2030.0,1960.0,38.0,29.0,33.0,3.0,1,70.0
Englund Gambit Complex,449,1866.0,1942.0,31.0,21.0,48.0,4.0,2,-76.0
Four Knights Game,23230,2221.0,2222.0,31.0,36.0,33.0,10.0,24,-1.0
French Defense,228091,2201.0,2203.0,36.0,28.0,37.0,9.0,118,-2.0
Grob Opening,797,2046.0,2055.0,45.0,19.0,36.0,4.0,4,-9.0
Gruenfeld Defense,55125,2320.0,2313.0,33.0,35.0,32.0,13.0,44,7.0
Gunderam Defense,613,2084.0,2171.0,32.0,22.0,46.0,4.0,1,-87.0
Horwitz Defense,10256,2158.0,2195.0,32.0,29.0,39.0,2.0,1,-37.0
Hungarian Opening,18777,2230.0,2245.0,29.0,30.0,41.0,3.0,8,-15.0
Indian Game,114554,2216.0,2217.0,36.0,29.0,35.0,4.0,26,-1.0
Indian Game Defense,492,2370.0,2387.0,39.0,38.0,23.0,8.0,1,-17.0
Italian Game,59421,2072.0,2071.0,38.0,22.0,39.0,11.0,57,1.0
Kadas Opening,121,2040.0,2085.0,34.0,19.0,47.0,1.0,1,-45.0
Kangaroo Defense,3251,2336.0,2350.0,29.0,35.0,36.0,4.0,2,-14.0
King Pawn Game,2111,2074.0,2095.0,34.0,26.0,40.0,4.0,7,-21.0
King's Gambit,10139,2173.0,2171.0,41.0,20.0,39.0,7.0,33,2.0
King's Indian Attack,52457,2296.0,2298.0,35.0,34.0,31.0,6.0,12,-2.0
