Opening Name,Num Games,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations
Alekhine Defense,34710,2154.4814814814813,2207.925925925926,2208.4444444444443,36.13333333333333,26.78148148148148,37.08148148148148,7.62962962962963,27
Anderssen Opening,1308,2140.0,2124.0,2126.0,35.7,25.6,38.7,1.0,1
Benko Gambit,24543,2149.0,2245.0588235294117,2229.294117647059,40.13529411764706,25.176470588235293,34.682352941176475,10.588235294117647,17
Benoni Defense,56840,2147.475,2263.5,2266.0,37.802499999999995,26.189999999999998,36.0125,11.425,40
Bird Opening,16315,2128.6,2083.0,2092.6,38.54,23.04,38.42,3.8,5
Bishop's Opening,11318,2696.2727272727275,2172.0,2144.7272727272725,40.663636363636364,25.954545454545453,33.372727272727275,6.181818181818182,11
Blackmar-Diemer Gambit,1019,2236.6666666666665,2071.8333333333335,2116.5,37.13333333333333,20.349999999999998,42.53333333333333,8.166666666666666,6
Blumenfeld Countergambit,2507,2136.5,2316.25,2333.75,37.65,24.575,37.8,10.25,4
Bogo-Indian Defense,22797,2130.8333333333335,2273.8333333333335,2299.1666666666665,28.400000000000002,38.61666666666667,32.983333333333334,7.833333333333333,6
Budapest Defense,7777,2147.1666666666665,2162.3333333333335,2160.5,38.050000000000004,23.566666666666666,38.38333333333333,7.166666666666667,6
Caro-Kann Defense,129053,2148.4032258064517,2210.4032258064517,2207.016129032258,35.06290322580645,30.29516129032258,34.653225806451616,8.580645161290322,62
Catalan Opening,36178,2149.3846153846152,2303.230769230769,2301.6153846153848,31.299999999999997,35.96153846153846,32.76923076923077,11.0,13
Center Game,2932,2140.25,2109.25,2079.75,44.0,20.675,35.3,6.25,4
Clemenz Opening,183,2163.0,2128.0,2117.0,36.6,21.9,41.5,1.0,1
Colle System,4968,2129.3333333333335,2109.0,2091.0,37.56666666666666,30.366666666666664,32.06666666666666,7.333333333333333,1
Czech Defense,7257,2129.0,2154.0,2202.0,33.2,25.4,41.4,6.0,1
Danish Gambit,856,2156.0,2065.5,2056.5,43.45,22.4,34.15,5.5,2
Dutch Defense,53855,2222.046511627907,2237.3255813953488,2240.232558139535,35.63023255813953,28.618604651162787,35.753488372093024,8.488372093023257,43
Elephant Gambit,873,2151.6666666666665,1950.0,1995.3333333333333,30.833333333333332,15.933333333333332,53.26666666666667,5.333333333333333,3
English Defense,2267,3610.0,2351.5,2389.5,32.2,30.6,37.1,6.0,2
English Opening,259136,2142.019417475728,2255.0485436893205,2262.631067961165,32.177669902912626,32.56990291262136,35.25242718446602,6.728155339805825,103
Englund Gambit,114,2204.0,2030.0,1960.0,37.7,28.9,33.3,3.0,1
Englund Gambit Complex,449,2155.0,1865.5,1942.0,31.0,20.75,48.3,4.0,2
Four Knights Game,23230,2151.5,2220.7916666666665,2222.1666666666665,31.400000000000002,35.729166666666664,32.86666666666667,9.916666666666666,24
French Defense,228091,2157.1186440677966,2201.4322033898306,2202.635593220339,35.771186440677965,27.65762711864407,36.566101694915254,9.042372881355933,118
Grob Opening,797,2166.5,2046.25,2055.0,44.85,18.75,36.4,4.0,4
Gruenfeld Defense,55125,2179.7954545454545,2320.4772727272725,2313.1136363636365,32.836363636363636,35.32954545454545,31.827272727272728,12.931818181818182,44
Gunderam Defense,613,2139.0,2084.0,2171.0,31.8,21.9,46.3,4.0,1
Horwitz Defense,10256,2128.0,2158.0,2195.0,32.1,29.2,38.7,2.0,1
Hungarian Opening,18777,2147.5,2229.625,2245.375,29.075,30.3,40.6375,2.625,8
Indian Game,114554,2141.5,2215.576923076923,2217.3846153846152,36.23076923076923,28.680769230769233,35.1,4.423076923076923,26
Indian Game Defense,492,2163.0,2370.0,2387.0,38.8,38.2,23.0,8.0,1
Italian Game,59421,2198.1052631578946,2072.4561403508774,2071.1403508771928,38.19122807017544,22.32982456140351,39.49122807017544,10.631578947368421,57
Kadas Opening,121,2285.0,2040.0,2085.0,33.9,19.0,47.1,1.0,1
Kangaroo Defense,3251,2136.0,2335.5,2349.5,28.8,35.15,36.05,4.5,2
King Pawn Game,2111,2173.1428571428573,2074.0,2095.1428571428573,34.15714285714286,26.0,39.84285714285714,4.142857142857143,7
King's Gambit,10139,2209.242424242424,2172.848484848485,2171.4545454545455,41.25454545454546,20.196969696969695,38.53939393939394,6.7272727272727275,33
King's Indian Attack,52457,2130.0,2296.0833333333335,2298.25,34.766666666666666,34.18333333333333,31.05,6.5,12
King's Indian Defense,190429,2157.217391304348,2287.1521739130435,2284.391304347826,35.99673913043478,30.09021739130435,33.915217391304346,13.445652173913043,92
King's Knight Opening,710,2150.0,2099.0,2113.5,40.3,21.95,37.7,4.5,2
King's Pawn Opening,7040,2128.0,2120.0,2087.0,39.0,23.5,37.5,1.0,1
Latvian Gambit,1004,2228.6666666666665,2130.8333333333335,2099.1666666666665,47.300000000000004,17.116666666666667,35.583333333333336,6.333333333333333,6
Lion Defense,3430,2162.75,2263.0,2226.5,45.25,22.8,31.95,6.75,4
London System,166,2188.0,2213.0,2189.0,31.9,32.5,35.5,9.0,1
Mexican Defense,2356,2131.0,2250.0,2260.0,36.6,27.6,35.8,4.0,1
Mieses Opening,1247,2142.0,2145.0,2135.0,39.0,22.700000000000003,38.3,1.5,2
Mikenas Defense,1696,2141.5,2214.0,2230.5,37.45,23.9,38.650000000000006,4.0,1
