Opening Name,Complexity,Effectivness,Popularity,Overall,OverallBeginer,OverallAdvanced
Queen's Gambit Declined,0.4683595871808799,0.665125,0.7932036516784501,0.644518971657799,0.5726814826442179,0.696679919389468
Pirc Defense,0.6724606192286802,0.6796250000000001,0.7087365810133445,0.6862091600726075,0.681148687739877,0.6905531943282059
Indian Game,0.8453286257468766,0.5794999999999999,0.7901649763888875,0.7224480806407292,0.7811301707259034,0.6903488531302426
King's Indian Attack,0.8005160239000544,0.637,0.7021773744615895,0.7056080195084932,0.7481450892323506,0.6794225521746412
English Opening,0.5917979359043998,0.5315000000000001,0.8821247182595947,0.6547767962491984,0.6378037051945589,0.677779680894278
King's Indian Defense,0.3984247691472026,0.5968749999999999,0.8474191230955198,0.6125031676728167,0.5279136861074255,0.6772476261529281
French Defense,0.4918522542096686,0.5527500000000001,0.8677491746237117,0.6289804286500141,0.5792111874505436,0.6726598952704517
Torre Attack,0.7781097229766432,0.713125,0.5862646745729841,0.6945623192648882,0.7267437687005828,0.668879342126858
Trompowsky Attack,0.847637153720804,0.66225,0.6273176734602631,0.7073864481543202,0.7664958269245349,0.6668157847561856
Nimzo-Indian Defense,0.5192829983704508,0.613,0.769953882539331,0.6319710642729346,0.5881605755301367,0.6664098528527774
