Opening Name,Complexity,Effectivness,Popularity,Overall,OverallBeginer,OverallAdvanced
Queen Pawn Opening,1.0,0.81575,0.2796611415742311,0.7101983424722694,0.8190822283148462,0.6197394566296924
King's Pawn Opening,1.0,0.571375,0.4759383666835519,0.6713315100050655,0.8094626733367104,0.5760628466734208
Nimzo-Larsen Attack,0.9528788701792504,0.51275,0.5693557170691504,0.6617703761745204,0.7881484655213804,0.5794051738455852
Zukertort Opening,0.8867463335143944,0.5033750000000001,0.7437966812912759,0.6905129044417011,0.7814821363668919,0.6378808058679499
Indian Game,0.8453286257468766,0.5794999999999999,0.7901649763888875,0.7224480806407292,0.7811301707259034,0.6903488531302426
Horwitz Defense,0.9642857142857144,0.4619999999999999,0.5183199850528438,0.6295817098015675,0.7746354255819974,0.534756565449709
Nimzowitsch-Larsen Attack,0.9285714285714286,0.6409999999999999,0.4138869634959247,0.6591375176202059,0.7681202498420421,0.5789119282555126
Trompowsky Attack,0.847637153720804,0.66225,0.6273176734602631,0.7073864481543202,0.7664958269245349,0.6668157847561856
Anderssen Opening,1.0,0.5179999999999999,0.2863993504717045,0.5931198051415113,0.7608798700943409,0.4735597401886818
Bird Opening,0.8852525801195003,0.563375,0.5706124180883579,0.6621094994623574,0.7579490316893718,0.5984577252472932
